PassengerId,Transported
892,False
893,False
894,False
895,False
896,True
897,False
898,True
899,False
900,True
901,False
902,False
903,False
904,True
905,False
906,True
907,True
908,False
909,False
910,True
911,True
912,False
913,True
914,True
915,False
916,True
917,False
918,True
919,False
920,False
921,False
922,False
923,False
924,True
925,False
926,False
927,False
928,True
929,False
930,False
931,False
932,False
933,False
934,False
935,True
936,True
937,False
938,False
939,False
940,True
941,True
942,False
943,False
944,True
945,True
946,False
947,False
948,False
949,False
950,False
951,True
952,False
953,False
954,False
955,True
956,True
957,True
958,True
959,False
960,False
961,True
962,True
963,False
964,True
965,False
966,True
967,False
968,False
969,True
970,False
971,True
972,True
973,False
974,False
975,False
976,False
977,False
978,True
979,True
980,True
981,True
982,True
983,False
984,True
985,False
986,False
987,False
988,True
989,False
990,True
991,False
992,True
993,False
994,False
995,False
996,True
997,False
998,False
999,False
1000,False
1001,False
1002,False
1003,True
1004,True
1005,True
1006,True
1007,False
1008,False
1009,True
1010,False
1011,True
1012,True
1013,False
1014,True
1015,False
1016,False
1017,True
1018,False
1019,True
1020,False
1021,False
1022,False
1023,False
1024,False
1025,False
1026,False
1027,False
1028,False
1029,False
1030,True
1031,False
1032,False
1033,True
1034,False
1035,False
1036,False
1037,False
1038,False
1039,False
1040,False
1041,False
1042,True
1043,False
1044,False
1045,True
1046,False
1047,False
1048,True
1049,True
1050,False
1051,True
1052,True
1053,True
1054,True
1055,False
1056,False
1057,True
1058,False
1059,False
1060,True
1061,True
1062,False
1063,False
1064,False
1065,False
1066,False
1067,True
1068,True
1069,False
1070,True
1071,True
1072,False
1073,False
1074,True
1075,False
1076,True
1077,False
1078,True
1079,False
1080,False
1081,False
1082,False
1083,False
1084,True
1085,False
1086,True
1087,False
1088,True
1089,True
1090,False
1091,True
1092,True
1093,True
1094,True
1095,True
1096,False
1097,False
1098,True
1099,False
1100,True
1101,False
1102,False
1103,False
1104,False
1105,True
1106,False
1107,False
1108,True
1109,False
1110,True
1111,False
1112,True
1113,False
1114,True
1115,False
1116,True
1117,True
1118,False
1119,True
1120,False
1121,False
1122,False
1123,True
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,True
1131,True
1132,True
1133,True
1134,False
1135,False
1136,True
1137,False
1138,True
1139,False
1140,True
1141,True
1142,True
1143,False
1144,False
1145,False
1146,False
1147,False
1148,False
1149,False
1150,True
1151,False
1152,False
1153,False
1154,True
1155,True
1156,False
1157,False
1158,False
1159,False
1160,True
1161,False
1162,False
1163,False
1164,True
1165,True
1166,False
1167,True
1168,False
1169,False
1170,False
1171,False
1172,True
1173,True
1174,True
1175,True
1176,True
1177,False
1178,False
1179,False
1180,False
1181,False
1182,False
1183,True
1184,False
1185,False
1186,False
1187,False
1188,True
1189,False
1190,False
1191,False
1192,False
1193,False
1194,False
1195,False
1196,True
1197,True
1198,False
1199,True
1200,False
1201,False
1202,False
1203,False
1204,False
1205,True
1206,True
1207,True
1208,False
1209,False
1210,False
1211,False
1212,False
1213,False
1214,False
1215,False
1216,True
1217,False
1218,True
1219,False
1220,False
1221,False
1222,True
1223,False
1224,False
1225,True
1226,False
1227,False
1228,False
1229,False
1230,False
1231,True
1232,False
1233,False
1234,False
1235,True
1236,True
1237,True
1238,False
1239,True
1240,False
1241,True
1242,True
1243,False
1244,False
1245,False
1246,True
1247,False
1248,True
1249,False
1250,False
1251,True
1252,False
1253,True
1254,True
1255,False
1256,True
1257,False
1258,False
1259,False
1260,True
1261,False
1262,False
1263,True
1264,False
1265,False
1266,True
1267,True
1268,True
1269,False
1270,False
1271,False
1272,False
1273,False
1274,True
1275,True
1276,False
1277,True
1278,False
1279,False
1280,False
1281,False
1282,False
1283,True
1284,True
1285,False
1286,False
1287,True
1288,False
1289,True
1290,False
1291,False
1292,True
1293,False
1294,True
1295,False
1296,False
1297,False
1298,False
1299,False
1300,True
1301,True
1302,True
1303,True
1304,True
1305,False
1306,True
1307,False
1308,False
1309,True
